,word,Median_Frequency,Tau
61,becam,0.7077941129712867,0.18465548498460632
62,includ,0.7643757646402646,0.2031505740573248
63,known,0.7144512470322414,0.1942284028676171
64,though,0.6419568065531129,0.1725903541105644
65,further,0.6400989260664974,0.1726524625640295
66,through,0.7092985231064082,0.19573753971220847
67,wa,0.8863585791411126,0.2525831931008076
68,closer,0.4972721934923056,0.13321061378450882
69,more,0.7454045416953389,0.21257512690413288
70,instead,0.6244911189595004,0.17549627152416006
71,onli,0.7313164351705455,0.21085579853384728
72,later,0.7271461644686078,0.2105265087222689
73,their,0.7819271499556468,0.23133510421099884
74,could,0.6863460773337293,0.2010606912304631
75,becaus,0.6911121637971935,0.2031724124132161
76,new,0.7315298223698621,0.2172734160776197
77,without,0.6536027269553973,0.19240583895300487
78,no,0.7141068760998134,0.21511119390030764
79,abl,0.6218949710243239,0.186009314728744
80,initi,0.6593050447307932,0.1987149469313104
81,veri,0.6674675436577395,0.20161615045567105
82,rais,0.6189807719617939,0.1867712579097008
83,even,0.6743276682692454,0.20558695993373471
84,alreadi,0.5955300191561503,0.1807390465233888
85,decad,0.5816419926533417,0.17619333424463465
86,who,0.7747864438520203,0.2428566160333707
87,asid,0.4837768626194298,0.14484945106912067
88,them,0.7075726376820585,0.2211340547809379
89,did,0.6761077774306714,0.21212218869028607
90,highli,0.5775197906637426,0.17848860166486236
91,may,0.7354463788786438,0.2326682971716857
92,subsequ,0.6162133391806206,0.1917915756507601
93,complet,0.6660494396912966,0.2095163063397219
94,good,0.639918787438237,0.2013838426430285
95,frequent,0.5856349851476177,0.18338514723381247
96,found,0.7137906013665176,0.22819754586117905
97,up,0.731227420561032,0.2381878994315519
98,ultim,0.5749281720987937,0.1831455174137436
99,work,0.7620156531205486,0.2491155969804725
100,earlier,0.595195850119724,0.19194646520704506
101,s,0.8505930203343366,0.2831584076829087
102,done,0.5916430283391106,0.1915973368992973
103,not,0.7841784793345454,0.2607057293032125
104,call,0.7197789198159845,0.238498048982344
105,where,0.7278941963254378,0.2414295753754833
106,seen,0.620234161815415,0.2028582586946528
107,chang,0.68340628558063,0.22630996954469065
108,introduct,0.5482763017763199,0.17915645685941786
109,prompt,0.5047330220501388,0.16383289077300325
110,accomplish,0.5149505730805175,0.16864763625978518
111,meant,0.544418674420659,0.1798982111853133
112,age,0.6686230237294993,0.2258502274976853
113,over,0.7314719768276086,0.2489833364323713
114,us,0.5943926670595799,0.20109530924715344
115,eventu,0.6313418293732723,0.2148115129668325
116,out,0.7185417262359973,0.2491148175571191
117,particularli,0.6016907062325322,0.20798217883915404
118,none,0.5084600374552412,0.1739212706632815
119,day,0.7094221122490172,0.2516817145374473
120,turn,0.6408010135771266,0.22617991237526056
121,addit,0.6694551957236747,0.23855463207373465
122,earli,0.6916674813593594,0.24737938682119706
123,between,0.7273375717519937,0.26231494552721485
124,take,0.6862363631993752,0.2470126996418409
125,on,0.8622776356603361,0.315943844497337
126,base,0.7137906494690627,0.2585371516907811
127,own,0.6910828163379776,0.2499965388452356
128,creat,0.6880658972021635,0.2506370736285107
129,confirm,0.5740511975331909,0.20713548326468825
130,old,0.6503791679046159,0.23748873754376945
131,past,0.5956825117906631,0.2159916363451541
132,there,0.7393067164884659,0.2728326538886594
133,tremend,0.4133075431355129,0.1446640263458175
134,amongst,0.5132752920336283,0.1846444564715521
135,keep,0.5958214782720722,0.21843478013134315
136,black,0.6368540634941394,0.2357953180427977
137,except,0.5991963383567213,0.22157719968050832
138,left,0.6615796915181467,0.2469913442456031
139,exclus,0.5528796189837085,0.2033560617683851
140,activ,0.6731176016027509,0.2521482126134337
141,throughout,0.6235634026846038,0.23249571031128616
142,month,0.6506581140509929,0.2435664282427177
143,close,0.6536803950011774,0.2455388732223195
144,down,0.6509447215292488,0.24444801011897505
145,do,0.6721108735759653,0.253435246802194
146,at,0.8298184833599975,0.3193112222506421
147,involv,0.6579295754214749,0.24980660895756945
148,pre,0.5717921958897847,0.21656237863918126
149,interest,0.6494408304470938,0.24980160531420365
150,retain,0.5577599600645211,0.2130469783290128
151,intend,0.5913305381156604,0.2276661666342367
152,import,0.6653431043620377,0.25978082951645665
153,de,0.6132677674713045,0.2381452294054976
154,after,0.7715586004429704,0.3045701942669461
155,clear,0.5841075848996075,0.22666852343245625
156,primarili,0.575010195326588,0.22337210660840512
157,lengthi,0.4356689730393049,0.16490846672119447
158,began,0.6804381545342332,0.26802809163092595
159,like,0.6985026332523979,0.2761768868046633
160,bring,0.5949251428717997,0.2328698657127577
161,remark,0.5332637780214304,0.2069966102263056
162,pose,0.5024389551534947,0.194118557026258
163,besid,0.5161047672839797,0.20036797511842264
164,danger,0.5555186245052002,0.21784870821489888
165,better,0.6043409041916121,0.2400548436493983
166,these,0.7265091786569721,0.29363858616875915
167,time,0.7585279768405822,0.3079869851480158
168,signific,0.6185979346328725,0.2484402064282087
169,chose,0.5265539018164439,0.20879615515705666
170,or,0.7999453897428064,0.3277182217046725
171,yet,0.5778528194788586,0.2326886631857756
172,said,0.6793804405353864,0.27792864596019906
173,famili,0.6898940700056515,0.2831229757402425
174,mark,0.6005609418943614,0.2456596183428974
175,legaci,0.4787888559238037,0.1932372840169356
176,face,0.6298048326592416,0.2612275331880875
177,enter,0.6242076255927909,0.2588047637470943
178,major,0.680271024973398,0.2844936284990191
179,agent,0.590807691216581,0.2446915441498284
180,coupl,0.5772044252906039,0.2386703450821285
181,than,0.7233684141101923,0.30520943591281585
182,upon,0.6317056949470076,0.2646288275290262
183,across,0.6196735893184774,0.2598772547223329
184,full,0.6343506024044949,0.26835391121720664
185,pass,0.6312405818834415,0.2671636742776814
186,progress,0.5796274875909363,0.2451305088747469
187,too,0.6060938966075694,0.2587539625226175
188,albeit,0.4358584043296899,0.18109589577752605
189,gave,0.6174545643723366,0.26583892049892016
190,until,0.6916512626783333,0.3001505020323427
191,two,0.7559981447023268,0.3299353053262022
192,perman,0.5596556437800645,0.2400197847723397
193,meet,0.6403750993577016,0.2774674268699261
194,futur,0.6115344869442566,0.2645508812510949
195,detail,0.5906011021379977,0.2549096747366698
196,year,0.7661638172515992,0.3373832665446405
197,whole,0.5818605339988955,0.2522162439674207
198,receiv,0.6934212690706865,0.3041233219098573
199,long,0.6667960697665439,0.2932606219540637
200,unusu,0.5150409207322874,0.22244478370245324
201,especi,0.6163476058190938,0.26979066270074764
202,brief,0.5367272682920622,0.23322182386714424
203,hi,0.8405912499260229,0.3757240192442031
204,lack,0.6018554903813771,0.2640029117409578
205,made,0.7183580844680219,0.3189932854499325
206,kept,0.5516324126434903,0.2408147607210421
207,reput,0.5262431253368305,0.22896432487644724
208,achiev,0.6218583043955781,0.27393565686686794
209,appar,0.5547058292105085,0.2432452327065164
210,short,0.6338663796873452,0.2809163214422963
211,sole,0.5294310740775497,0.2316732967001396
212,ad,0.6400245328528446,0.28500056538258595
213,travel,0.6236653314769025,0.2775547513437091
214,befor,0.7062284832621467,0.317275689413812
215,fifti,0.4833916303535227,0.21228421941106665
216,dozen,0.501746061119438,0.2210283644097152
217,extrem,0.5724497975133203,0.2551070489351727
218,author,0.6746249791463084,0.3038594589732623
219,among,0.665765741861686,0.30043186360943164
220,sit,0.5391214149598371,0.2400894987377256
221,wide,0.6290610415143095,0.2838588028920956
222,under,0.7119554371959889,0.3244819256102493
223,altogeth,0.4352673682613066,0.19209708412114665
224,incorpor,0.5687423421908265,0.2565054470691796
225,brought,0.6011416858492529,0.27263506071519816
226,struggl,0.5667908062520234,0.2560362297017557
227,nearli,0.5759187865301721,0.26046767459493914
228,far,0.6024433564359264,0.2733086393794493
229,repeatedli,0.4850010180844406,0.2170669213906609
230,be,0.8182199007657813,0.3790547041820908
231,hope,0.5745524535770764,0.2610961226308482
232,promis,0.5499389692071279,0.24977926262828964
233,press,0.5854923458793029,0.2682252399224277
234,lead,0.6707698960552452,0.3099894766944725
235,taken,0.6213924048432564,0.2864766071064285
236,thi,0.7973801601399781,0.3727703855359826
237,prior,0.5941023954914075,0.2734167881339251
238,lifetim,0.5019840853235896,0.22831115888005216
239,presenc,0.5634727881823195,0.258931232028632
240,begin,0.6422180680406432,0.2978341228803498
241,such,0.7397849364582876,0.34681848278166005
242,similar,0.6466126439350516,0.3021072067249613
243,unlik,0.5683285967581401,0.2635516107508229
244,supervisor,0.4412977104488229,0.20087580506826525
245,repres,0.6602989850976901,0.3101716170721465
246,way,0.6713022373928756,0.3158991108416664
247,describ,0.6690195368191463,0.314824140590973
248,lean,0.4436378376367495,0.2034318249623941
249,anywher,0.4485818945778497,0.2064238225587296
250,unknown,0.5444224682602227,0.2544888737875405
251,split,0.5513986666632812,0.2581568597417266
252,brother,0.6374341253609717,0.30159298062366124
253,remain,0.6670946225223654,0.3168090809141877
254,keen,0.4327556645010285,0.20031292068130652
255,due,0.6709550750928254,0.32082476605121457
256,wife,0.6272963272413629,0.2988178322952214
257,absenc,0.5099866442824114,0.2399381739308817
258,toward,0.6196454104281748,0.2953672015004925
259,had,0.7817421581954755,0.3780762155228292
260,guid,0.5587373653145571,0.26617681715761393
261,fail,0.6051973355342462,0.2899435976496225
262,stay,0.5875508236474852,0.2810132821067793
263,longer,0.5863737123312749,0.2807602688826717
264,ca,0.4854938386626081,0.23000964400170376
265,will,0.7046807597786104,0.3428470270390709
266,previous,0.5972448238276555,0.2880055103058131
267,poorli,0.4582576402540261,0.21740397189791366
268,told,0.5851666473441185,0.2826622315342697
269,name,0.7333759843827597,0.35884648236461103
270,agre,0.598919284596344,0.2901144851390661
271,actual,0.6049031186866222,0.2941571842645923
272,return,0.6854880478619519,0.3360320703861808
273,marri,0.6433184304816023,0.3144204070763565
274,often,0.6748071295006788,0.3307021392968236
275,critic,0.6684729841657848,0.3279895267893279
276,owe,0.4853069078151767,0.2334152332005032
277,younger,0.5515017840318728,0.2677515948031541
278,level,0.6632786078393119,0.3260765945995036
279,th,0.7052145996464703,0.348288435047511
280,cite,0.5734953131187115,0.2800665402811143
281,contribut,0.6292769442100077,0.3092925405775277
282,stop,0.5994769194345106,0.2938342114573682
283,life,0.6806404248843893,0.33620962845503183
284,onc,0.6291293357030797,0.3098319680759963
285,are,0.8085353712337453,0.40341781687264144
286,consist,0.6364856673027729,0.3147015202841894
287,culmin,0.4745490854358368,0.23054799384626976
288,rest,0.5856913536098624,0.28887539994767586
289,noteworthi,0.3863289606655803,0.1848763889955819
290,annual,0.6019144160678424,0.2978439961601456
291,claim,0.657171938855474,0.3273021832443931
292,give,0.6461832403722858,0.3223881403749765
293,admit,0.5471501099845183,0.2703214484772208
294,associ,0.6472335144334475,0.32363982974712
295,is,0.8759236057715926,0.44478939690258457
296,within,0.6704494921848797,0.3367862080060925
297,investig,0.6171992587974439,0.3087473639470378
298,section,0.612728465995334,0.30690285158442754
299,europ,0.6228223620857817,0.3122681927722973
300,greatli,0.5197145682561566,0.2580028952865521
301,move,0.6803974953309445,0.3432940835173992
302,extraordinarili,0.3234288318562332,0.15466238323336384
303,middl,0.5977806663891451,0.3007552556792854
304,notabl,0.6021222657611718,0.3037401657735068
305,those,0.6693189547445284,0.3397902852317981
306,link,0.5918829527932326,0.29848392586188405
307,pursu,0.5519374750245235,0.2772907254948033
308,anticip,0.4765983937098739,0.23780814805227105
309,daughter,0.6246099684399166,0.3170791752403017
310,need,0.6500312774802951,0.3309288447301496
311,consider,0.5696351747936851,0.28800071499505153
312,modest,0.4377360289127773,0.21739418983559072
313,young,0.6285949065084269,0.3199853712381805
314,drawn,0.5283134456147734,0.2663486447836331
315,just,0.6452554866640934,0.3295208572656467
316,counterpart,0.4824511390903674,0.2421954077878697
317,were,0.7974326485913781,0.4126076297655245
318,so,0.6985014477808544,0.35971754950167595
319,mid,0.5954096038171207,0.30412692401025543
320,post,0.6253291441882496,0.3210940632812917
321,figur,0.6097896125478074,0.31309998980303444
322,came,0.6389179272356189,0.3298492824114662
323,what,0.6695643078229737,0.3469216094996909
324,quit,0.5545000545811901,0.2843691171402887
325,sooner,0.3520100660273071,0.1744583762755454
326,refer,0.6665035649473607,0.3458265415432041
327,difficult,0.5715270861447476,0.29425200633946874
328,comfort,0.4895768675619064,0.2496092651979189
329,never,0.6268771018222771,0.3245458710254304
330,attempt,0.6446498802207363,0.33490611731084524
331,form,0.7105496003431611,0.37132257652502776
332,separ,0.625034844303597,0.3251683471594213
333,accept,0.6199677845624664,0.3227142707384907
334,around,0.6709274884729497,0.35065430796363234
335,attract,0.579336670883979,0.3012449426987683
336,sharp,0.4749930555901811,0.24398224157474202
337,anyon,0.5139370235411304,0.2664935045687773
338,modern,0.6381495960317826,0.3359984976940064
339,origin,0.6989391579907265,0.3697178202712755
340,alon,0.5468230028043549,0.2857328747013952
341,then,0.7217359132419747,0.38275456886586096
342,controversi,0.5766414977686586,0.3025191145719669
343,report,0.6819845605899328,0.3613367985029401
344,deal,0.6105286092869859,0.3219464099539384
345,notic,0.5376127615113768,0.2821855164029829
346,board,0.6145077285603346,0.32528316972229404
347,come,0.6482920702817309,0.3444455949405244
348,beyond,0.5594873460558327,0.29504964893296337
349,fall,0.6057447121909768,0.32133228510071377
350,document,0.6035474057011245,0.32018840468351845
351,conclud,0.5700155372337159,0.30167556709555554
352,say,0.6419666988206414,0.3420647385247386
353,away,0.616534949441357,0.328319104370032
354,late,0.6528481389283982,0.3489228531234113
355,resolv,0.5111226751309869,0.2700003000897502
356,same,0.6910748717180233,0.3711177393339121
357,discov,0.6040700945205711,0.32271327522741283
358,replac,0.635715584601182,0.3414238190082976
359,decid,0.6230604327818753,0.334751529808728
360,peopl,0.7090313589937486,0.3837716326924026
361,purpos,0.6043154326622319,0.3247692703982713
362,begun,0.505041956585206,0.2688942111395304
363,media,0.6291776363367483,0.33955553795358345
364,maintain,0.6105956313236559,0.32904820584714417
365,end,0.7026903665513553,0.3814856763543903
366,commun,0.6832212184160499,0.3705010974777193
367,conduct,0.611664558661312,0.3299880330044212
368,plu,0.5164862032077827,0.27625927112907583
369,entri,0.552966686980086,0.29762604624881706
370,enorm,0.4650299773178621,0.24982038529009115
371,enjoy,0.5503080821572122,0.2988472080483492
372,consid,0.6636459460564647,0.3640115573555741
373,elsewher,0.5002169094253378,0.2704042581315844
374,impress,0.5442229592006075,0.2962075699441073
375,execut,0.625192664032114,0.34304201854702565
376,founder,0.5846137027072879,0.3197242782852741
377,mother,0.6282973937145324,0.34553427269608444
378,extraordinari,0.4574152792746297,0.2473413241554551
379,head,0.6516637554714965,0.36043509342137603
380,somewhat,0.5169716811405026,0.2825857099269853
381,et,0.4837639271805381,0.2634124965253714
382,book,0.7064563869386361,0.3925855838895265
383,ma,0.4883574703359114,0.2663019019317499
384,specul,0.5102980803493039,0.2790683360563361
385,declin,0.5677927256461539,0.3128658158172697
386,littl,0.6107886464156027,0.33900103558597844
387,iv,0.4754551416343175,0.26039530785267545
388,introduc,0.629502858204651,0.35050003642969313
389,dure,0.7419203199936591,0.4164491908828439
390,alik,0.42759690418264,0.2329774823525069
391,recogn,0.5916525087622474,0.3288436317279356
392,part,0.7179667387584687,0.4036905567967137
393,america,0.6014876067264774,0.3357610227444847
394,recov,0.5376883598777834,0.29841471055899604
395,interf,0.3954279663665311,0.2150283510980891
396,break,0.5936350710652881,0.3317862141741762
397,huge,0.5165565376273553,0.2866214497573483
398,today,0.605948679065984,0.3406763700011816
399,open,0.6846436881973473,0.3874054041201707
400,member,0.7128292202163629,0.4045049667388207
401,domin,0.5754385017770728,0.3233520026523014
402,met,0.5984963826820887,0.33699004397379584
403,ask,0.6218629274277866,0.35165313575762525
404,tension,0.5001846928220393,0.281144459046266
405,seriou,0.5436492857097399,0.3070360321038747
406,back,0.6745388805107884,0.38500570774254855
407,exploit,0.5229461206963741,0.29507312861507423
408,first,0.7720567269537104,0.4460705149035732
409,spite,0.4504055253519808,0.25334251015165776
410,branch,0.5761220124109211,0.3295432307865664
411,bodi,0.644458265588483,0.3709561660422721
412,her,0.7640588062086886,0.4432063004264125
413,date,0.6259119626089666,0.3604260116491797
414,confus,0.53043373946549,0.3029127155140601
415,revis,0.5301079249887236,0.30346637557166484
416,recognit,0.548123899367573,0.3143530170997001
417,wear,0.5610752467778923,0.3224441761959925
418,primari,0.5999704833226789,0.3461119649744928
419,hous,0.6555386296832236,0.3801423223794224
420,provid,0.6880149519836136,0.4001397739673005
421,plan,0.6588825603562153,0.3830784874478484
422,partli,0.5040545065709333,0.2897053511657949
423,surviv,0.5971412505796091,0.34640953478208536
424,father,0.6596385201563684,0.3844076924975086
425,develop,0.711487058166807,0.4160298477369755
426,hang,0.4933185452642852,0.28338479419773643
427,use,0.7812096682491338,0.4588597047903308
428,seem,0.5775215352775396,0.3352475090864127
429,trip,0.5390034720969521,0.31210064358755324
430,unabl,0.552678341857724,0.32055079507794243
431,push,0.5389757222979721,0.3127200903663194
432,quickli,0.5690851645542175,0.33120015915042744
433,togeth,0.6348167479541965,0.3714348444625196
434,see,0.6453386976591946,0.3780429646644496
435,him,0.7285850412139736,0.4291686977477937
436,heavili,0.536282551705184,0.3115262167628787
437,led,0.6567567834797122,0.3853949355134012
438,promin,0.5800331944258043,0.3386022875510357
439,bare,0.4651637995891099,0.2688857640021746
440,notori,0.4390491862550201,0.25321796332339364
441,remov,0.610291032875537,0.3587759175039186
442,appreci,0.4829825459701806,0.2806449704664441
443,compar,0.6068735031994245,0.35721842214905336
444,knew,0.5132218367329687,0.2995610717424095
445,hundr,0.5689172052521575,0.3339896051274582
446,great,0.6386532255435764,0.3771094705582183
447,period,0.6565992569599934,0.3888684889227052
448,photograph,0.5675086158491669,0.3339548456136674
449,grandfath,0.5045278112659884,0.2952485038851357
450,free,0.6398757722846077,0.3789187599434175
451,focus,0.6018535268626847,0.3559350488811278
452,indic,0.6092133863270383,0.36080772616098267
453,establish,0.6743732583418549,0.4014286860084356
454,visit,0.619104641693194,0.3676500479366929
455,avoid,0.5793733517822721,0.3430240710546287
456,rather,0.6250266906213676,0.3721441696923393
457,emerg,0.597654081740275,0.3558345880055997
458,octob,0.6640421025275403,0.39816936065761227
459,partner,0.5878591098686663,0.3513442796397034
460,immens,0.4300719359346301,0.2526284056219741
461,ambit,0.4408035652721406,0.25934523698094114
462,hour,0.6126535169692571,0.3669535192617256
463,iii,0.5001514115438013,0.2967086280616461
464,allow,0.6729071213236701,0.4053376304899066
465,decemb,0.663715073435826,0.3999212817100611
466,thousand,0.5677166154856544,0.3401718831324521
467,april,0.6622446847762324,0.40091884671524336
468,collect,0.6520328940889716,0.3948014912531781
469,preced,0.5205673422190911,0.3124798184767294
470,apart,0.5566033966175807,0.33551936230553536
471,blame,0.4992013842287056,0.29934901101431843
472,either,0.6199464166857154,0.3757711886163
473,incid,0.5589238822047297,0.33730134450076354
474,queen,0.5312078804452823,0.3199639497139266
475,briefli,0.5244327583417662,0.3159217301832354
476,posit,0.6811922795393508,0.4153440216716607
477,despit,0.6230805397658763,0.37888990244944304
478,su,0.4731562837944268,0.28408841637578514
479,thirti,0.5120347261362814,0.30885583460472665
480,ambiti,0.4327009427728876,0.2585346334755479
481,suit,0.5543318036361817,0.33585731651668643
482,globe,0.4766536618963677,0.28662267264796776
483,itself,0.6110820940954871,0.3720738505637359
484,dec,0.3651360066044682,0.21615516947518648
485,intern,0.6732902874199048,0.41288050772942375
486,offici,0.6537357816754936,0.40071768902361743
487,focu,0.5783403052438144,0.3531524376423381
488,role,0.6650534772352973,0.4086508202112229
489,drastic,0.42339790735537786,0.25436875032541817
490,go,0.6453145263567301,0.3964181554249479
491,era,0.5756838202109474,0.3520851834285076
492,o,0.5755139864129457,0.35208337986594496
493,nevertheless,0.5093894281411413,0.30998524061405874
494,die,0.6546247190803757,0.4031347883619371
495,profil,0.5335177940273198,0.3261262837790673
496,soon,0.6037669444714874,0.3724580441711407
497,wish,0.5438433502875732,0.3341475168457884
498,suffer,0.5914981429945124,0.3648623571358556
499,perhap,0.537720956836681,0.33040695164133105
500,man,0.6482142263093632,0.40176672110477696
501,onto,0.5358330541363228,0.3294541728572597
502,look,0.6124301745693723,0.378893022702457
503,kind,0.5826884776821043,0.3599593380210298
504,vital,0.4770417892553107,0.2918654038328747
505,he,0.846572023327669,0.5310191633057139
506,comment,0.5920213921652882,0.3665767947840946
507,leav,0.6381721391361913,0.3972510930993938
508,reflect,0.5808984843034011,0.3604827839732656
509,share,0.6274964071942468,0.3908070197293917
510,confid,0.5120831246200926,0.3163911219843105
511,pride,0.4625931810391173,0.2845017913715014
512,identifi,0.6109541118686684,0.38114041133761706
513,forerunn,0.3840320381430797,0.2338280845864172
514,insid,0.5757423060622733,0.35896733811764464
515,himself,0.6328161117303512,0.39633259625231576
516,children,0.6655814360516602,0.41781985150431256
517,practic,0.6459892991435204,0.4052515228384579
518,shift,0.5544834111744544,0.34566810402725984
519,result,0.6852172477122311,0.4310384361587629
520,disappear,0.5195966727657819,0.32306270507956786
521,onward,0.4783114739165192,0.2965052171043828
522,effort,0.6124970449014907,0.38438623151271095
523,gradual,0.5249470470788906,0.32713515228341256
524,support,0.6948005031459172,0.4393104322739977
525,publish,0.6952206140565718,0.4410154788198607
526,three,0.7136555237639454,0.4532792972990012
527,whom,0.5980637433836921,0.3774046917800501
528,announc,0.6513962105004313,0.4126524366554804
529,secret,0.5694914357377013,0.358747250158568
530,crucial,0.4735782391350807,0.295790091356758
531,larg,0.6778367209882756,0.4304960423571682
532,submiss,0.461894532928572,0.2882772178011128
533,noth,0.5414922018712136,0.3410278068516825
534,valuabl,0.4933698917101295,0.3107190777361733
535,cut,0.5985481553089157,0.38050697024725627
536,trust,0.5296753894431437,0.3355785667204352
537,creation,0.5702998642651375,0.3628702310888786
538,group,0.7046527311184405,0.4523039989814238
539,prospect,0.4838715027742545,0.3057484291881273
540,whilst,0.5107614427810815,0.3239752133592785
541,treasur,0.492440979537031,0.31200539876881617
542,wider,0.492854339611686,0.31228615223891604
543,murder,0.5990346535775335,0.3833709973393309
544,regist,0.5523638084018628,0.35239657014076936
545,twenti,0.557215808245339,0.3556529853884224
546,manag,0.6679406015011674,0.4299415801337221
547,enough,0.5834746181446362,0.37366361932901615
548,laps,0.3732532380509631,0.23329534241004865
549,accord,0.6733704061357331,0.4340421617465693
550,request,0.57361761476051,0.3673735083771689
551,effect,0.6656898170788981,0.4295068820701409
552,organ,0.6795623218016604,0.4389671014511938
553,attach,0.5443408666636186,0.34862119372415845
554,presum,0.4796035447788941,0.3053233413673207
555,compel,0.4543528557713896,0.2884231852044559
556,dramat,0.5154357771111409,0.3293840704105023
557,combin,0.614471652741,0.3958092212298104
558,reli,0.5294045724753235,0.3390020191292679
559,novemb,0.6582702206657434,0.42578903301893134
560,widespread,0.5205556631275311,0.3334333876484532
561,june,0.66453243193013,0.4301934932475725
562,manner,0.5383316257534285,0.345551227501152
563,envis,0.4230570991227325,0.2683363120066691
564,limit,0.6311613285518045,0.40837392108148257
565,might,0.5948923564206983,0.3839863075275905
566,hear,0.5609320586362261,0.36146547643821897
567,order,0.6871808725214369,0.4467974728465094
568,wors,0.4575602607213327,0.2921773602453613
569,sometim,0.6185148772726735,0.400607763855873
570,regard,0.6146910889407222,0.3981324957771409
571,septemb,0.6638312324770231,0.4316405896132148
572,whi,0.5519063501603505,0.35653642989055906
573,prefer,0.5609191083180376,0.3628328358799899
574,save,0.5848001835787193,0.3789772662909312
575,walk,0.5650695333891981,0.3659811315525576
576,gather,0.5513777173622609,0.3568664539852647
577,tri,0.6319702801975795,0.4115280450678757
578,write,0.6587783159382715,0.4297528292368288
579,room,0.5911690186793371,0.3842538823481669
580,slowli,0.4891707656412808,0.31540395232140817
581,histori,0.6621862589220957,0.4327301159030109
582,contain,0.64926038089389,0.42418742595867
583,action,0.6428316386702387,0.41992493576061896
584,along,0.6582818052041172,0.4308157383331504
585,cousin,0.5127944076184268,0.33209435849526864
586,sure,0.4853011152959837,0.3134860583401668
587,wait,0.5252696250302279,0.34067623026069577
588,account,0.6163944308536019,0.4025823300500241
589,happen,0.5621871504389324,0.3658028774072111
590,favor,0.5595860564446209,0.3641485528020589
591,evolv,0.526758174166152,0.3419209988863243
592,leap,0.4245925618469011,0.2727483174164966
593,thoroughli,0.409859349409926,0.2629138361385579
594,hire,0.5583316724332744,0.3643192661779883
595,least,0.6107798071789149,0.4001202648688773
596,shortli,0.5656988271989479,0.3698756125615947
597,promot,0.6406418870230817,0.4224071660004569
598,intent,0.5636736454912874,0.3698460792324181
599,whose,0.6084365665685225,0.4005636700619103
600,offer,0.6478459427795266,0.4275487894583334
601,theft,0.4534858359019355,0.2947669910175279
602,nonetheless,0.4616980335130183,0.3005530107852133
603,sic,0.3829545167721216,0.246662952106958
604,immedi,0.587837731544347,0.3871533558493022
605,possess,0.5622834518735399,0.3697666819945536
606,march,0.6719796825422322,0.4453396421475909
607,directli,0.5806002147850067,0.3827221377160037
608,particip,0.6335980616526167,0.4199932758821664
609,demonstr,0.5820042802112207,0.3845085661645112
610,influenc,0.6316383464421658,0.41913858990789776
611,merit,0.479178466637029,0.3141641609238704
612,main,0.6503026744199079,0.4320610129225816
